# simv0_comparison.dat  --  decoupled vs coupled at aligned times
#   (spatial results in simv0_spatial.dat; adaptive step was used)
# t(s)          T_dec(K)       T_coup(K)      WS(m/s)        G_eff(W/m2)    h_eff(W/m2K)   P_dec(W)       P_coup(W)
       0.000000     298.150000     298.150000       1.500000       0.000000      11.400000     288.000000       0.000000
     100.000000     307.448322     296.938376       1.551166       0.000000      11.601181     288.000000       0.000000
     200.000000     313.942857     295.980597       1.297910       0.000000      10.646421     288.000000       0.000000
     300.000000     318.437762     295.179389       0.843342       0.000013       8.932686     288.000000       0.000004
     400.000000     321.527940     294.446291       0.248750       0.000660       6.707514     288.000000       0.000193
     500.000000     323.642237     293.736553      -0.454641       0.007439       5.800028     288.000000       0.002185
     600.000000     325.083973     293.124589      -1.233051       0.038679       5.813628     288.000000       0.011391
     700.000000     326.064793     292.603526      -2.047834       0.128590       5.825158     288.000000       0.037958
     800.000000     326.730975     292.160721      -2.870141       0.322278       5.834921     288.000000       0.095317
     900.000000     327.182953     291.785864      -3.678706       0.667683       5.843160     288.000000       0.197800
    1000.000000     327.489370     291.470631      -4.458087       1.208991       5.850070     288.000000       0.358655
    1100.000000     327.696999     291.208323      -5.197273       1.982882       5.855808     288.000000       0.588909
    1200.000000     327.837639     290.993548      -5.888602       3.017197       5.860498     288.000000       0.896936
    1300.000000     327.932881     290.821940      -6.526928       4.331149       5.864240     288.000000       1.288505
    1400.000000     327.997370     290.689928      -7.108982       5.936319       5.867115     288.000000       1.767054
    1500.000000     328.041029     290.594549      -7.632894       7.837938       5.869191     288.000000       2.334074
    1600.000000     328.070586     290.533302      -8.097832      10.036192       5.870523     288.000000       2.989493
    1700.000000     328.090594     290.504041      -8.503730      12.527393       5.871159     288.000000       3.732025
    1800.000000     328.104137     290.504885      -8.851084      15.304982       5.871140     288.000000       4.559478
    1900.000000     328.113305     290.534160      -9.140806      18.360342       5.870504     288.000000       5.468997
    2000.000000     328.119511     290.590347      -9.374106      21.683450       5.869282     288.000000       6.457273
    2100.000000     328.123711     290.672052      -9.552408      25.263384       5.867504     288.000000       7.520693
    2200.000000     328.126554     290.777980      -9.677292      29.088712       5.865198     288.000000       8.655467
    2300.000000     328.128479     290.906916      -9.750437      33.147785       5.862387     288.000000       9.857721
    2400.000000     328.129781     291.057712      -9.773594      37.428949       5.859098     288.000000      11.123570
    2500.000000     328.130663     291.229281      -9.748552      41.920713       5.855350     288.000000      12.449163
    2600.000000     328.131260     291.420586      -9.677118      46.611851       5.851166     288.000000      13.830730
    2700.000000     328.131664     291.630639      -9.561102      51.491486       5.846564     288.000000      15.264604
    2800.000000     328.131937     291.858495      -9.402302      56.549138       5.841565     288.000000      16.747242
    2900.000000     328.132122     292.103251      -9.202497      61.774755       5.836185     288.000000      18.275233
    3000.000000     328.132248     292.364044      -8.963435      67.158728       5.830442     288.000000      19.845310
    3100.000000     328.132332     292.640048      -8.686828      72.691897       5.824351     288.000000      21.454352
    3200.000000     328.132390     292.930475      -8.374351      78.365545       5.817929     288.000000      23.099381
    3300.000000     328.132429     293.234572      -8.027632      84.171391       5.811189     288.000000      24.777566
    3400.000000     328.132455     293.551620      -7.648254      90.101577       5.804145     288.000000      26.486214
    3500.000000     328.132473     293.880935      -7.237748      96.148648       5.796810     288.000000      28.222773
    3600.000000     328.132485     294.221863      -6.797599     102.305539       5.789197     288.000000      29.984819
    3700.000000     328.132493     294.573781      -6.329236     108.565555       5.781318     288.000000      31.770057
    3800.000000     328.132498     294.936099      -5.834038     114.922350       5.773183     288.000000      33.576313
    3900.000000     328.132502     295.308252      -5.313333     121.369912       5.764804     288.000000      35.401529
    4000.000000     328.132505     295.689704      -4.768395     127.902540       5.756190     288.000000      37.243754
    4100.000000     328.132506     296.079945      -4.200448     134.514830       5.747350     288.000000      39.101146
    4200.000000     328.132508     296.478492      -3.610664     141.201656       5.738295     288.000000      40.971958
    4300.000000     328.132508     296.884884      -3.000166     147.958152       5.729031     288.000000      42.854538
    4400.000000     328.132509     297.298683      -2.370030     154.779697       5.719568     288.000000      44.747322
    4500.000000     328.132509     297.719473      -1.721283     161.661905       5.709913     288.000000      46.648830
    4600.000000     328.132509     298.146860      -1.054907     168.600600       5.700072     288.000000      48.557659
    4700.000000     328.132510     298.580428      -0.371841     175.591816       5.709910     288.000000      50.472492
    4800.000000     328.132510     299.016971       0.326983     182.631772       6.955989     288.000000      52.392746
    4900.000000     328.132510     299.421838       1.035501     189.716869       9.645160     288.000000      54.325748
    5000.000000     328.132510     299.770419       1.739532     196.843676      12.318228     288.000000      56.277595
    5100.000000     328.132510     300.051710       2.422371     204.008920      14.911422     288.000000      58.251765
    5200.000000     328.132510     300.266169       3.068501     211.209475      17.365562     288.000000      60.249075
    5300.000000     328.132510     300.422964       3.666232     218.442355      19.636099     288.000000      62.267919
