# simv0 diagnostic: method selection + RK45 step-size log
# DECOUPLED method: Classical RK4
#   reason: Stiffness: tau/h=   3.9 < 5, tol=  0.100 K: O(h^4) accuracy
# COUPLED   method: Classical RK4
#   reason: BTE-NS coupling, tau/h=   3.9, tol=  0.100 K: O(h^4) accuracy
# SPATIAL   method: RK45 Dormand-Prince (adaptive)
#   reason: Spatial 1D PDE, tau/h=   3.9: adaptive error control essential
#
# RK45 adaptive log (spatial mode only):
# t(s)          h_used(s)      err_norm       accept
          0.000     100.000000***************  REJECT
          0.000       1.000000       0.000259  ACCEPT
          1.000       4.693876       0.547423  ACCEPT
          5.694       4.765512      31.710922  REJECT
          5.694       2.148376       0.269351  ACCEPT
          7.842       2.513559       0.302906  ACCEPT
         10.356       2.872566       0.746024  ACCEPT
         13.228       2.741334       1.462959  REJECT
         13.228       2.286430       0.505454  ACCEPT
         15.515       2.358654       0.386418  ACCEPT
         17.873       2.567410       0.485157  ACCEPT
         20.441       2.670308       0.781283  ACCEPT
         23.111       2.524888       0.917648  ACCEPT
         25.636       2.311795       0.632386  ACCEPT
         27.948       2.280318       0.397026  ACCEPT
         30.228       2.468733       0.396219  ACCEPT
         32.697       2.673803       0.636156  ACCEPT
         35.371       2.634264       0.958942  ACCEPT
         38.005       2.390800       0.814652  ACCEPT
         40.396       2.241771       0.464195  ACCEPT
         42.638       2.352306       0.350233  ACCEPT
         44.990       2.611349       0.485731  ACCEPT
         47.601       2.715365       0.868097  ACCEPT
         50.317       2.513953       1.000269  REJECT
         50.317       2.262436       0.540920  ACCEPT
         52.579       2.302461       0.359774  ACCEPT
         54.881       2.542311       0.426186  ACCEPT
         57.424       2.713636       0.752378  ACCEPT
         60.137       2.585276       1.021295  REJECT
         60.137       2.316963       0.538263  ACCEPT
         62.454       2.360276       0.412948  ACCEPT
         64.815       2.535282       0.481570  ACCEPT
         67.350       2.640808       0.723661  ACCEPT
         69.991       2.535551       0.867745  ACCEPT
         72.526       2.347667       0.654841  ACCEPT
         74.874       2.299597       0.431873  ACCEPT
         77.174       2.448066       0.410098  ACCEPT
